Unnamed: 0,Name,Origin,5_star,4_star,3_star,2_star,1_star
1,Siri M.,"From Chicago, IL",160.0,84.0,25.0,5.0,3.0
1,Elan K.,"From Boulder, CO",23.0,3.0,4.0,6.0,4.0
1,Milton W.,"From Chicago, IL",28.0,5.0,4.0,1.0,0.0
1,Mi K.,"From Chicago, IL",39.0,25.0,17.0,9.0,8.0
1,Harry B.,"From Buffalo Grove, IL",,,,,
1,Maddie F.,"From Chicago, IL",42.0,23.0,2.0,1.0,0.0
1,Thomas G.,"From Chicago, IL",,,,,
1,Nitin G.,"From TX, TX",20.0,12.0,4.0,2.0,2.0
1,Mel S.,"From Evanston, IL",3.0,0.0,0.0,4.0,2.0
1,"Christina ""NINA"" M.","From Chicago, IL",225.0,132.0,85.0,68.0,60.0
1,Olivia L.,"From Chicago, IL",1.0,1.0,1.0,2.0,4.0
1,Marshall I.,"From Boynton Beach, FL",,,,,
1,Courtney S.,"From Roselle, IL",20.0,3.0,1.0,2.0,0.0
1,Nicole W.,"From Chicago, IL",7.0,3.0,0.0,1.0,2.0
1,Madison S.,"From Chicago, IL",97.0,64.0,43.0,6.0,0.0
1,J W.,"From Chicago, IL",2.0,1.0,0.0,1.0,1.0
1,Stephanie M.,"From Chicago, IL",89.0,17.0,15.0,15.0,8.0
1,Kate R.,"From Chicago, IL",17.0,13.0,3.0,0.0,0.0
1,Ashvin P.,"From Chicago, IL",38.0,15.0,9.0,12.0,7.0
1,Chelsea T.,"From Chicagoland, IL",33.0,0.0,1.0,0.0,1.0
1,Dan F.,"From West Town, Chicago, IL",,,,,
1,Jennifer P.,"From Chicago, IL",7.0,1.0,0.0,0.0,3.0
1,Elizabeth K.,"From San Francisco, CA",,,,,
1,John K.,"From Chicago, IL",6.0,4.0,1.0,0.0,0.0
1,Megan K.,"From Chicago, IL",50.0,12.0,6.0,3.0,1.0
1,Andrew N.,"From Chicago, IL",,,,,
1,Tera D.,"From Phoenix, AZ",66.0,166.0,121.0,50.0,5.0
1,Natalie C.,"From Chicago, IL",8.0,8.0,1.0,0.0,0.0
1,"Jennie ""JCChicago"" C.","From Chicago, IL",102.0,251.0,155.0,35.0,24.0
1,Nisha P.,"From Chicago, IL",4.0,0.0,0.0,0.0,0.0
1,"Matt ""matty"" S.","From Naperville, IL",44.0,10.0,0.0,0.0,1.0
1,Trekforbeer B.,"From San Francisco, CA",117.0,234.0,242.0,138.0,55.0
1,Jessica S.,"From Chicago, IL",146.0,85.0,40.0,10.0,9.0
1,George M.,"From Chicago, IL",,,,,
1,Michaela D.,"From Chicago, IL",76.0,22.0,10.0,7.0,8.0
1,Amoli P.,"From Chicago, IL",94.0,178.0,92.0,17.0,2.0
1,Jim D.,"From Chicago, IL",75.0,106.0,110.0,61.0,14.0
1,Jordan E.,"From Belvidere, IL",12.0,0.0,1.0,0.0,1.0
1,Saloni R.,"From Chicago, IL",8.0,0.0,2.0,0.0,0.0
1,Chelsea M.,"From Chicago, IL",7.0,1.0,1.0,1.0,2.0
1,Katherine S.,"From Chicago, IL",21.0,6.0,1.0,0.0,0.0
1,Jacqueline B.,"From Chicago, IL",40.0,19.0,6.0,10.0,4.0
1,Alex S.,"From Lake View, Chicago, IL",,,,,
1,Jill R.,"From San Francisco, CA",,,,,
1,K B.,"From Chicago, IL",35.0,99.0,70.0,23.0,7.0
1,Arielle C.,"From Tampa, FL",2.0,7.0,2.0,0.0,0.0
1,"Cory ""Hawkeye"" J.","From Colorado Springs, CO",3.0,0.0,0.0,3.0,4.0
1,Gina G.,"From Chicago, IL",23.0,7.0,3.0,2.0,0.0
1,"Brooke ""Brookey B"" B.","From Chicago, IL",10.0,14.0,10.0,13.0,0.0
1,Abby I.,"From Chicago, IL",43.0,21.0,19.0,24.0,48.0
1,Taylor S.,"From Normal, IL",,,,,
1,Liam N.,"From Chicago, IL",5.0,2.0,1.0,0.0,1.0
1,Nicole P.,"From Chicago, IL",20.0,5.0,4.0,2.0,6.0
1,Thomas L.,"From Chicago, IL",2.0,0.0,1.0,2.0,0.0
1,Linda O.,"From Chicago, IL",6.0,0.0,2.0,0.0,2.0
1,Mary C.,"From Chicago, IL",,,,,
1,Pura V.,"From Manhattan, NY",13.0,1.0,0.0,0.0,6.0
1,T N.,"From Chicago, IL",26.0,11.0,5.0,3.0,6.0
1,Michael H.,"From Chicago, IL",177.0,316.0,133.0,68.0,44.0
1,Derek L.,"From Chicago, IL",7.0,1.0,0.0,0.0,0.0
1,Paul G.,"From Roscoe Village, Chicago, IL",30.0,7.0,7.0,4.0,0.0
1,"Coco ""coco"" C.","From Chicago, IL",23.0,1.0,0.0,0.0,9.0
1,Alison T.,"From Las Vegas, NV",,,,,
1,Stephanie K.,"From Chicago, IL",9.0,0.0,1.0,0.0,2.0
1,Katie J.,"From Chicago, IL",26.0,6.0,5.0,4.0,4.0
1,Maddie M.,"From Western Springs, IL",,,,,
1,Valerie D.,"From Rogers Park, Chicago, IL",3.0,0.0,0.0,0.0,1.0
1,Grace W.,"From Chicago, IL",19.0,17.0,2.0,1.0,0.0
1,Carly S.,"From Las Vegas, NV",4.0,0.0,0.0,0.0,0.0
1,Emily D.,"From Chicago, IL",79.0,75.0,65.0,40.0,10.0
1,Charé G.,"From Mission District, San Francisco, CA",,,,,
1,Chad B.,"From Chicago, IL",11.0,0.0,0.0,1.0,4.0
1,Jen S.,"From Itasca, IL",,,,,
1,Shakiah H.,"From Cicero, IL",2.0,1.0,0.0,1.0,0.0
1,Jessica M.,"From Lakemoor, IL",7.0,1.0,0.0,0.0,3.0
1,Heather L.,"From River North, Chicago, IL",,,,,
1,Danielle Y.,"From River North, Chicago, IL",,,,,
1,Deena F.,"From St. Louis, MO",,,,,
1,Tina G.,"From Bloomingdale, IL",25.0,36.0,14.0,3.0,7.0
1,Jen K.,"From Chicago, IL",13.0,6.0,7.0,2.0,4.0
1,Kaylee W.,"From Omaha, NE",136.0,86.0,15.0,27.0,28.0
1,Rachi S.,"From Chicago, IL",,,,,
1,Carrie E.,"From Lincoln Park, Chicago, IL",,,,,
1,Laura L.,"From Kalamazoo, MI",1.0,3.0,1.0,0.0,0.0
1,Sabrina L.,"From Upland, CA",21.0,3.0,1.0,0.0,1.0
1,Charlie A.,"From Las Vegas, NV",10.0,3.0,1.0,8.0,10.0
1,Lauren F.,"From Chicago, IL",,,,,
1,Alex J.,"From Itasca, IL",6.0,2.0,0.0,0.0,0.0
1,Jenna D.,"From Charlestown, Charlestown, MA",5.0,0.0,0.0,0.0,0.0
1,Layla K.,"From Barrington, IL",26.0,28.0,18.0,7.0,2.0
1,Jori K.,"From East Side, Chicago, IL",,,,,
1,Jacqueline C.,"From Denver, CO",13.0,0.0,2.0,2.0,4.0
1,Broderick B.,"From Kenwood, Chicago, IL",,,,,
1,Kory D.,"From Chicago, IL",,,,,
1,Angela B.,"From Chicago, IL",10.0,0.0,0.0,0.0,0.0
1,Lisa W.,"From Chicago, IL",23.0,2.0,2.0,3.0,4.0
1,Angelique A.,"From Chicago, IL",4.0,0.0,0.0,0.0,0.0
1,Theresa K.,"From Chicago, IL",,,,,
1,J. D.,"From Chicago, IL",27.0,1.0,8.0,3.0,5.0
1,Iliana C.,"From Lyons, IL",66.0,6.0,5.0,0.0,7.0
1,"Jason ""J. Dubbs"" W.","From Chicago, IL",32.0,5.0,2.0,3.0,1.0
1,Gina M.,"From Chicago, IL",,,,,
1,Katelyn T.,"From WA, WA",,,,,
1,Alexis S.,"From Las Vegas, NV",5.0,0.0,0.0,0.0,0.0
1,Christine T.,"From Austin, TX",,,,,
1,Jimmy M.,"From Salem, MA",8.0,2.0,0.0,1.0,1.0
1,Sev S.,"From Arlington Heights, IL",,,,,
1,Sean C.,"From Southeast Redmond, Redmond, WA",,,,,
1,Jeremy L.,"From Wilmette, IL",,,,,
1,Dario I.,"From Chicago, IL",27.0,15.0,9.0,2.0,13.0
1,Dzenan N.,"From Skokie, IL",2.0,0.0,0.0,0.0,2.0
1,Shamie E.,"From Chicago, IL",5.0,0.0,0.0,0.0,1.0
1,Meghan G.,"From Fishers, IN",,,,,
1,Olivia L.,"From Greenwood, IN",,,,,
1,Lisa L.,"From Raleigh, NC",12.0,0.0,1.0,1.0,3.0
1,Karen M.,"From Chicago, IL",4.0,1.0,0.0,0.0,0.0
1,Salome K.,"From Chicago, IL",4.0,0.0,0.0,0.0,0.0
1,Scott C.,"From Chicago, IL",5.0,5.0,2.0,3.0,0.0
1,Megan M.,"From Chicago, IL",,,,,
1,Elaina B.,"From Chicago, IL",,,,,
1,Barri Z.,"From Auburn, AL",25.0,0.0,3.0,1.0,1.0
1,Marisa Z.,"From Cumming, GA",4.0,0.0,0.0,0.0,0.0
1,Zach S.,"From Chicago, IL",12.0,1.0,1.0,0.0,3.0
1,Brittany B.,"From Buffalo Grove, IL",2.0,0.0,0.0,0.0,2.0
1,Klauds S.,"From Glenview, IL",4.0,3.0,0.0,0.0,0.0
1,Josh H.,"From Chicago, IL",7.0,0.0,0.0,0.0,0.0
1,Danielle M.,"From Streeterville, Chicago, IL",,,,,
1,Annika P.,"From Avondale, Chicago, IL",,,,,
1,Kim K.,"From Chicago, IL",39.0,15.0,3.0,6.0,5.0
1,Pamela E.,"From Chicago, IL",,,,,
1,Paige F.,"From Plainfield, IL",,,,,
1,R M.,"From Plainfield, IL",1.0,0.0,0.0,1.0,3.0
1,Morgan M.,"From Chicago, IL",3.0,0.0,0.0,0.0,1.0
1,Sara B.,"From Highland Park, IL",,,,,
1,Leigh L.,"From Northbrook, IL",,,,,
1,Earl S.,"From Chicago, IL",83.0,91.0,60.0,28.0,20.0
1,Marcelo C.,"From Peoria, IL",,,,,
1,Morgan L.,"From Lincoln Park, Chicago, IL",,,,,
1,Kcl. L.,"From Chicago, IL",18.0,8.0,0.0,0.0,1.0
1,Nick R.,"From Chicago, IL",101.0,58.0,32.0,14.0,13.0
1,dev p.,"From Chicago, IL",9.0,0.0,2.0,0.0,16.0
1,Brenna T.,"From Bethlehem, PA",1.0,0.0,0.0,0.0,3.0
1,Kelly D.,"From Downtown Flushing, Queens, NY",3.0,0.0,0.0,1.0,1.0
1,Claire D.,"From Chicago, IL",9.0,8.0,5.0,0.0,0.0
1,Katharine G.,"From Champaign, IL",,,,,
1,Ilana M.,"From Fulton Market, Chicago, IL",,,,,
1,Jessica L.,"From Techny, Northbrook, IL",,,,,
1,Kristin A.,"From Houston, TX",114.0,181.0,91.0,39.0,9.0
1,Deni A.,"From San Francisco, CA",3.0,1.0,0.0,0.0,0.0
1,Annemarie H.,"From Las Vegas, NV",304.0,155.0,69.0,24.0,13.0
1,Abigail E.,"From Summit, IL",,,,,
1,Adam C.,"From Grand Rapids, MI",,,,,
1,Kristi M.,"From Chicago, IL",,,,,
1,Matthew K.,"From San Francisco, CA",,,,,
1,"Jay ""Avid Foodie"" S.","From Chicago, IL",21.0,5.0,3.0,0.0,34.0
1,Jorden H.,"From Chicago, IL",,,,,
1,Rebecca J.,"From Chicago, IL",66.0,96.0,42.0,7.0,0.0
1,Gilbert M.,"From Miami, FL",,,,,
1,Michelle A.,"From Fulton Market, Chicago, IL",,,,,
1,Ashley K.,"From Chicago, IL",3.0,0.0,0.0,1.0,2.0
1,"Radhika ""Foodstalkerchicago"" B.","From Chicago, IL",73.0,19.0,9.0,7.0,17.0
1,Blair S.,"From Midtown - Westport, Kansas City, MO",,,,,
1,Ashley E.,"From Chicago, IL",,,,,
1,Malcolm R.,"From Bensenville, IL",5.0,0.0,0.0,0.0,0.0
1,Madeline W.,"From Streeterville, Chicago, IL",,,,,
1,Taylor W.,"From Frederick, MD",,,,,
1,JT T.,"From Manhattan, NY",101.0,101.0,67.0,33.0,29.0
1,Diego M.,"From Chicago, IL",57.0,81.0,35.0,7.0,0.0
1,Jake I.,"From Chicago, IL",,,,,
1,LaShawndra L.,"From Southfield, MI",19.0,9.0,7.0,5.0,2.0
1,Casey B.,"From Fulton Market, Chicago, IL",,,,,
1,Sarah R.,"From Near South Side, Chicago, IL",,,,,
1,Angela A.,"From Houston, TX",44.0,42.0,17.0,2.0,1.0
1,Charlie S.,"From Chicago, IL",21.0,1.0,1.0,3.0,8.0
1,Alexandra L.,"From Chicago, IL",,,,,
1,Taylor K.,"From West Seattle, Seattle, WA",,,,,
1,"Gina ""Glamhairus"" S.","From Chicago, IL",6.0,0.0,0.0,0.0,0.0
1,Sam S.,"From Near North Side, Chicago, IL",,,,,
1,Sakshi S.,"From University Village / Little Italy, Chicago, IL",4.0,1.0,0.0,0.0,0.0
1,Daniel F.,"From Evanston, IL",,,,,
1,Anna V.,"From Chicago, IL",15.0,3.0,1.0,1.0,0.0
1,Angie 'Nana' M.,"From Chicago, IL",29.0,2.0,0.0,0.0,1.0
1,Lauren E.,"From Highland Park, IL",,,,,
1,Michael F.,"From Minneapolis, MN",10.0,0.0,0.0,1.0,0.0
1,Julee S.,"From Hidden Hills, CA",40.0,3.0,2.0,4.0,4.0
1,Erin C.,"From Cleveland, OH",98.0,38.0,15.0,2.0,1.0
1,Jeanine S.,"From Chicago, IL",9.0,0.0,0.0,1.0,3.0
1,Julia C.,"From Broad Ripple, Indianapolis, IN",8.0,0.0,0.0,0.0,1.0
1,Marilu C.,"From Miami, FL",4.0,0.0,0.0,0.0,1.0
1,Will L.,"From Dallas, TX",65.0,33.0,26.0,14.0,9.0
1,Willie A.,"From Chicago, IL",,,,,
1,Cassidy P.,"From Chicago, IL",19.0,8.0,8.0,7.0,6.0
1,"Michael ""I think I need a shower but I really want a beer."" T.","From Chicago, IL",89.0,122.0,77.0,62.0,64.0
1,Roz S.,"From Dolton, IL",7.0,4.0,5.0,1.0,2.0
1,Ruby L.,"From San Francisco, CA",4.0,0.0,1.0,1.0,1.0
1,Olivia S.,"From Los Angeles, CA",,,,,
1,Olivia N.,"From Carol Stream, IL",11.0,1.0,0.0,0.0,0.0
1,Jessica J.,"From Milwaukee, WI",157.0,64.0,9.0,2.0,1.0
1,Christopher W.,"From Culver City, CA",35.0,9.0,8.0,2.0,4.0
1,Kenny Y.,"From Chicago, IL",81.0,113.0,93.0,40.0,18.0
1,Diana R.,"From Humboldt Park, Chicago, IL",5.0,3.0,2.0,0.0,0.0
1,Lee F.,"From Washington, DC",13.0,2.0,0.0,0.0,0.0
1,Drew B.,"From Chicago, IL",,,,,
1,Bianca V.,"From Lake Forest, IL",3.0,1.0,0.0,0.0,3.0
1,Irvin V.,"From San Francisco, CA",,,,,
1,Ciara T.,"From Darien, IL",,,,,
1,Sharon R.,"From Webster, NY",,,,,
1,"Hailey ""Hailey"" A.","From Dallas, TX",15.0,5.0,3.0,1.0,0.0
1,Ellie K.,"From Chicago, IL",36.0,10.0,5.0,1.0,2.0
1,Eryka H.,"From Clarendon Hills, IL",3.0,1.0,1.0,1.0,0.0
1,Matthew M.,"From Chicago, IL",,,,,
1,Katia S.,"From Carolina, Puerto Rico",19.0,0.0,0.0,0.0,1.0
1,Arely Z.,"From Carpentersville, IL",1.0,4.0,2.0,2.0,0.0
1,Sarah M.,"From West Loop, Chicago, IL",,,,,
1,Chuck P.,"From Chicago, IL",4.0,0.0,0.0,1.0,2.0
1,Flor G.,"From Chicago, IL",21.0,2.0,3.0,0.0,3.0
1,Ola L.,"From Warsaw, Poland",,,,,
1,Ethan G.,"From New Albany, OH",,,,,
1,Raleigh G.,"From Ketchum, ID",,,,,
1,Maria L.,"From Miami, FL",,,,,
1,Farooq M.,"From Chicago, IL",3.0,0.0,0.0,1.0,0.0
1,Ketan P.,"From DePaul, Chicago, IL",,,,,
1,Oscar T.,"From Dallas, TX",19.0,26.0,9.0,1.0,0.0
1,"Paige ""Pancake Queen"" K.","From Chicago, IL",39.0,103.0,71.0,22.0,3.0
1,Ezra I.,"From Oak Park, IL",22.0,5.0,3.0,1.0,2.0
1,Andi P.,"From Manhattan, New York, NY",,,,,
1,Gabby P.,"From San Francisco, CA",,,,,
1,Caroline C.,"From Chicago Loop, Chicago, IL",38.0,20.0,1.0,0.0,0.0
1,Joelle P.,"From Chicago, IL",,,,,
1,Madison C.,"From Chicago, IL",,,,,
1,Sophers M.,"From Palo Alto, CA",32.0,20.0,6.0,3.0,0.0
1,Jakia D.,"From Chicago, IL",42.0,54.0,17.0,7.0,2.0
1,Annie T.,"From Miami, FL",,,,,
1,Damian O.,"From Southbridge, MA",5.0,1.0,0.0,1.0,1.0
1,Malisha W.,"From Chicago, IL",17.0,14.0,3.0,5.0,5.0
1,Ana T.,"From West Loop, Chicago, IL",4.0,1.0,0.0,0.0,2.0
1,Shazeen S.,"From Chicago, IL",21.0,52.0,32.0,6.0,3.0
1,Sarah K.,"From Schaumburg, IL",4.0,0.0,0.0,0.0,0.0
1,Brittney W.,"From Atlanta, GA",40.0,5.0,5.0,0.0,5.0
1,Elle O.,"From West Loop, Chicago, IL",,,,,
1,Sydney B.,"From Lower West Side, Chicago, IL",,,,,
1,Cindy V.,"From Roscoe, IL",10.0,1.0,1.0,0.0,0.0
1,Juan R.,"From Chicago, IL",5.0,0.0,0.0,0.0,0.0
1,Lauren B.,"From Chicago, IL",9.0,0.0,3.0,0.0,1.0
1,"Randy ""Little Tortilla Boy"" S.","From Chicago, IL",45.0,39.0,12.0,5.0,17.0
1,Janene M.,"From Chicago, IL",17.0,59.0,32.0,15.0,20.0
1,Daniel J.,"From Jersey City, NJ",17.0,1.0,2.0,2.0,10.0
1,"Lauren-ashley ""Poppi Pooh"" B.","From Chicago, IL",72.0,53.0,49.0,24.0,21.0
1,Julia W.,"From Chicago, IL",3.0,1.0,0.0,1.0,1.0
1,Roshani P.,"From Verona, NJ",,,,,
1,Colin H.,"From Chicago, IL",,,,,
1,"Armita ""Meata"" H.","From Chicago, IL",24.0,21.0,5.0,3.0,0.0
1,Brian R.,"From Bronzeville, Chicago, IL",13.0,5.0,3.0,3.0,0.0
1,Ali M.,"From Boston, MA",159.0,62.0,51.0,36.0,57.0
1,Cierra L.,"From Chicago, IL",46.0,14.0,3.0,0.0,1.0
1,Jason Z.,"From Chicago, IL",27.0,6.0,1.0,6.0,11.0
1,Scott C.,"From Chicago, IL",2.0,0.0,0.0,1.0,1.0
1,Alexandra L.,"From Melrose Park, IL",5.0,2.0,1.0,2.0,4.0
1,Maddy L.,"From Chicago, IL",140.0,65.0,37.0,7.0,4.0
1,Julianne C.,"From Chicago, IL",115.0,70.0,17.0,5.0,9.0
1,Emily S.,"From Chicago, IL",88.0,89.0,27.0,8.0,1.0
1,Blaise D.,"From La Grange, IL",11.0,2.0,0.0,0.0,0.0
1,Macy D.,"From Dallas, TX",10.0,3.0,3.0,2.0,0.0
1,Lauren B.,"From Summerville, SC",,,,,
1,Sarah O.,"From Iowa City, IA",4.0,1.0,0.0,0.0,2.0
1,Catherine O.,"From Lake View, Chicago, IL",11.0,13.0,2.0,2.0,2.0
1,Mike C.,"From Chicago, IL",5.0,0.0,0.0,0.0,0.0
1,Rishabh M.,"From Champaign, IL",,,,,
